RT,RT_log,condition,participant,current_task,CurvCond,SizeCond,SizeCurv,congruent,accuracy
441.831460674157,6.08541346332664,01-SizeTask-BigBoxy,1,JudgeSize,Bo,Bi,Bi Bo,1,0.966666666666667
471.317647058824,6.14768085332731,02-SizeTask-BigCurvy,1,JudgeSize,Cu,Bi,Bi Cu,1,0.933333333333333
512.585714285714,6.23092163602607,03-SizeTask-SmallBoxy,1,JudgeSize,Bo,Sm,Sm Bo,1,0.972222222222222
479.277108433735,6.16317998329012,04-SizeTask-SmallCurvy,1,JudgeSize,Cu,Sm,Sm Cu,1,0.972222222222222
426.240963855422,6.04678373763716,05-CurvTask-BigBoxy,1,JudgeCurviness,Bo,Bi,Bi Bo,1,1
486.746666666667,6.18168229552386,06-CurvTask-BigCurvy,1,JudgeCurviness,Cu,Bi,Bi Cu,1,0.972222222222222
442.086419753086,6.08130933564405,07-CurvTask-SmallBoxy,1,JudgeCurviness,Bo,Sm,Sm Bo,1,0.888888888888889
479.364705882353,6.16208379217633,08-CurvTask-SmallCurvy,1,JudgeCurviness,Cu,Sm,Sm Cu,1,0.961111111111111
533.716216216216,6.26197608727077,01-SizeTask-BigBoxy,2,JudgeSize,Bo,Bi,Bi Bo,0,0.961111111111111
549.184210526316,6.29075350418432,02-SizeTask-BigCurvy,2,JudgeSize,Cu,Bi,Bi Cu,0,0.972222222222222
580.307692307692,6.3564476853911,03-SizeTask-SmallBoxy,2,JudgeSize,Bo,Sm,Sm Bo,0,0.966666666666667
599.225,6.38303786149277,04-SizeTask-SmallCurvy,2,JudgeSize,Cu,Sm,Sm Cu,0,0.961111111111111
558.65,6.31055828108474,05-CurvTask-BigBoxy,2,JudgeCurviness,Bo,Bi,Bi Bo,0,0.922222222222222
546.731707317073,6.29253783028535,06-CurvTask-BigCurvy,2,JudgeCurviness,Cu,Bi,Bi Cu,0,0.938888888888889
532.802469135802,6.26839946203583,07-CurvTask-SmallBoxy,2,JudgeCurviness,Bo,Sm,Sm Bo,0,0.961111111111111
524.708860759494,6.24834661316039,08-CurvTask-SmallCurvy,2,JudgeCurviness,Cu,Sm,Sm Cu,0,0.955555555555556
510.858823529412,6.2211749063132,01-SizeTask-BigBoxy,3,JudgeSize,Bo,Bi,Bi Bo,1,0.955555555555556
561.012195121951,6.31244517882454,02-SizeTask-BigCurvy,3,JudgeSize,Cu,Bi,Bi Cu,1,0.905555555555556
550.898734177215,6.29939124069779,03-SizeTask-SmallBoxy,3,JudgeSize,Bo,Sm,Sm Bo,1,0.938888888888889
546.618421052632,6.28790649965392,04-SizeTask-SmallCurvy,3,JudgeSize,Cu,Sm,Sm Cu,1,0.961111111111111
484.075949367089,6.16219313596547,05-CurvTask-BigBoxy,3,JudgeCurviness,Bo,Bi,Bi Bo,1,0.977777777777778
512.704225352113,6.22160252297619,06-CurvTask-BigCurvy,3,JudgeCurviness,Cu,Bi,Bi Cu,1,0.955555555555556
