RT,RT_log,current_task,CurvCond,SizeCond,accuracy,condition,participant,block
441.831460674157,6.08541346332664,JudgeSize,Bo,Bi,0.966666666666667,01-SizeTask-BigBoxy,1,1
441.831460674157,6.08541346332664,JudgeSize,Bo,Bi,0.966666666666667,01-SizeTask-BigBoxy,1,4
471.317647058824,6.14768085332731,JudgeSize,Cu,Bi,0.933333333333333,02-SizeTask-BigCurvy,1,1
471.317647058824,6.14768085332731,JudgeSize,Cu,Bi,0.933333333333333,02-SizeTask-BigCurvy,1,4
512.585714285714,6.23092163602607,JudgeSize,Bo,Sm,0.972222222222222,03-SizeTask-SmallBoxy,1,1
512.585714285714,6.23092163602607,JudgeSize,Bo,Sm,0.972222222222222,03-SizeTask-SmallBoxy,1,4
479.277108433735,6.16317998329012,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,1,1
479.277108433735,6.16317998329012,JudgeSize,Cu,Sm,0.972222222222222,04-SizeTask-SmallCurvy,1,4
426.240963855422,6.04678373763716,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,1,2
426.240963855422,6.04678373763716,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,1,3
486.746666666667,6.18168229552386,JudgeCurviness,Cu,Bi,0.972222222222222,06-CurvTask-BigCurvy,1,2
486.746666666667,6.18168229552386,JudgeCurviness,Cu,Bi,0.972222222222222,06-CurvTask-BigCurvy,1,3
442.086419753086,6.08130933564405,JudgeCurviness,Bo,Sm,0.888888888888889,07-CurvTask-SmallBoxy,1,2
442.086419753086,6.08130933564405,JudgeCurviness,Bo,Sm,0.888888888888889,07-CurvTask-SmallBoxy,1,3
479.364705882353,6.16208379217633,JudgeCurviness,Cu,Sm,0.961111111111111,08-CurvTask-SmallCurvy,1,2
479.364705882353,6.16208379217633,JudgeCurviness,Cu,Sm,0.961111111111111,08-CurvTask-SmallCurvy,1,3
533.716216216216,6.26197608727077,JudgeSize,Bo,Bi,0.961111111111111,01-SizeTask-BigBoxy,2,1
533.716216216216,6.26197608727077,JudgeSize,Bo,Bi,0.961111111111111,01-SizeTask-BigBoxy,2,4
549.184210526316,6.29075350418432,JudgeSize,Cu,Bi,0.972222222222222,02-SizeTask-BigCurvy,2,1
549.184210526316,6.29075350418432,JudgeSize,Cu,Bi,0.972222222222222,02-SizeTask-BigCurvy,2,4
580.307692307692,6.3564476853911,JudgeSize,Bo,Sm,0.966666666666667,03-SizeTask-SmallBoxy,2,1
580.307692307692,6.3564476853911,JudgeSize,Bo,Sm,0.966666666666667,03-SizeTask-SmallBoxy,2,4
599.225,6.38303786149277,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,2,1
599.225,6.38303786149277,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,2,4
558.65,6.31055828108474,JudgeCurviness,Bo,Bi,0.922222222222222,05-CurvTask-BigBoxy,2,2
558.65,6.31055828108474,JudgeCurviness,Bo,Bi,0.922222222222222,05-CurvTask-BigBoxy,2,3
546.731707317073,6.29253783028535,JudgeCurviness,Cu,Bi,0.938888888888889,06-CurvTask-BigCurvy,2,2
546.731707317073,6.29253783028535,JudgeCurviness,Cu,Bi,0.938888888888889,06-CurvTask-BigCurvy,2,3
532.802469135802,6.26839946203583,JudgeCurviness,Bo,Sm,0.961111111111111,07-CurvTask-SmallBoxy,2,2
532.802469135802,6.26839946203583,JudgeCurviness,Bo,Sm,0.961111111111111,07-CurvTask-SmallBoxy,2,3
524.708860759494,6.24834661316039,JudgeCurviness,Cu,Sm,0.955555555555556,08-CurvTask-SmallCurvy,2,2
524.708860759494,6.24834661316039,JudgeCurviness,Cu,Sm,0.955555555555556,08-CurvTask-SmallCurvy,2,3
510.858823529412,6.2211749063132,JudgeSize,Bo,Bi,0.955555555555556,01-SizeTask-BigBoxy,3,2
510.858823529412,6.2211749063132,JudgeSize,Bo,Bi,0.955555555555556,01-SizeTask-BigBoxy,3,3
561.012195121951,6.31244517882454,JudgeSize,Cu,Bi,0.905555555555556,02-SizeTask-BigCurvy,3,2
561.012195121951,6.31244517882454,JudgeSize,Cu,Bi,0.905555555555556,02-SizeTask-BigCurvy,3,3
550.898734177215,6.29939124069779,JudgeSize,Bo,Sm,0.938888888888889,03-SizeTask-SmallBoxy,3,2
550.898734177215,6.29939124069779,JudgeSize,Bo,Sm,0.938888888888889,03-SizeTask-SmallBoxy,3,3
546.618421052632,6.28790649965392,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,3,2
546.618421052632,6.28790649965392,JudgeSize,Cu,Sm,0.961111111111111,04-SizeTask-SmallCurvy,3,3
484.075949367089,6.16219313596547,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,3,1
484.075949367089,6.16219313596547,JudgeCurviness,Bo,Bi,0.977777777777778,05-CurvTask-BigBoxy,3,4
512.704225352113,6.22160252297619,JudgeCurviness,Cu,Bi,0.955555555555556,06-CurvTask-BigCurvy,3,1
512.704225352113,6.22160252297619,JudgeCurviness,Cu,Bi,0.955555555555556,06-CurvTask-BigCurvy,3,4
519.253333333333,6.2297284345092,JudgeCurviness,Bo,Sm,0.944444444444444,07-CurvTask-SmallBoxy,3,1
519.253333333333,6.2297284345092,JudgeCurviness,Bo,Sm,0.944444444444444,07-CurvTask-SmallBoxy,3,4
518.935064935065,6.22815474079006,JudgeCurviness,Cu,Sm,0.933333333333333,08-CurvTask-SmallCurvy,3,1
518.935064935065,6.22815474079006,JudgeCurviness,Cu,Sm,0.933333333333333,08-CurvTask-SmallCurvy,3,4
629.022727272727,6.43075788612207,JudgeSize,Bo,Bi,1,01-SizeTask-BigBoxy,4,2
629.022727272727,6.43075788612207,JudgeSize,Bo,Bi,1,01-SizeTask-BigBoxy,4,3
631.988372093023,6.43953315923288,JudgeSize,Cu,Bi,0.966666666666667,02-SizeTask-BigCurvy,4,2
631.988372093023,6.43953315923288,JudgeSize,Cu,Bi,0.966666666666667,02-SizeTask-BigCurvy,4,3
633.864197530864,6.44409834115885,JudgeSize,Bo,Sm,0.977777777777778,03-SizeTask-SmallBoxy,4,2
633.864197530864,6.44409834115885,JudgeSize,Bo,Sm,0.977777777777778,03-SizeTask-SmallBoxy,4,3
652.926829268293,6.46912856452937,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,4,2
652.926829268293,6.46912856452937,JudgeSize,Cu,Sm,0.983333333333333,04-SizeTask-SmallCurvy,4,3
651.954022988506,6.46940695847651,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,4,1
651.954022988506,6.46940695847651,JudgeCurviness,Bo,Bi,1,05-CurvTask-BigBoxy,4,4
641,6.45227029631292,JudgeCurviness,Cu,Bi,0.994444444444444,06-CurvTask-BigCurvy,4,1
641,6.45227029631292,JudgeCurviness,Cu,Bi,0.994444444444444,06-CurvTask-BigCurvy,4,4
660.320987654321,6.48194852893815,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,4,1
660.320987654321,6.48194852893815,JudgeCurviness,Bo,Sm,0.977777777777778,07-CurvTask-SmallBoxy,4,4
685.941176470588,6.51060075021609,JudgeCurviness,Cu,Sm,0.977777777777778,08-CurvTask-SmallCurvy,4,1
