participant,correctRTs,RT_log,accuracy,congruent,SizeCond,CurvCond,condition,image,current_task
1,399.5,5.98832974060118,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_02,JudgeCurviness
1,403,5.99577404684806,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_03,JudgeCurviness
1,500,6.21354897747663,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_04,JudgeCurviness
1,395.5,5.97790097903827,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_09,JudgeCurviness
1,NaN,NaN,NaN,NaN,B,B,01-SizeTask-BigBoxy,BigBoxy_11,JudgeCurviness
1,411,6.01859321449623,0.75,1,B,B,01-SizeTask-BigBoxy,BigBoxy_12,JudgeCurviness
1,495.5,6.20095127617446,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_14,JudgeCurviness
1,357.5,5.87819457835321,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_18,JudgeCurviness
1,420.5,6.03446737865577,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_19,JudgeCurviness
1,398.5,5.98326010084096,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_22,JudgeCurviness
1,390.5,5.9670663400135,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_25,JudgeCurviness
1,420.5,6.03418054982734,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_30,JudgeCurviness
1,399,5.9875744534485,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_33,JudgeCurviness
1,420,6.04025471127741,0.75,1,B,B,01-SizeTask-BigBoxy,BigBoxy_35,JudgeCurviness
1,379,5.93753272417001,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_37,JudgeCurviness
1,452.5,6.10947962767663,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_39,JudgeCurviness
1,449.5,6.1073774229565,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_41,JudgeCurviness
1,393,5.97375781215282,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_42,JudgeCurviness
1,436.5,6.06941055708647,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_44,JudgeCurviness
1,493.5,6.19395120737489,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_45,JudgeCurviness
1,477.5,6.16624250394231,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_46,JudgeCurviness
1,498.5,6.20513899791207,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_49,JudgeCurviness
1,413.5,6.02116471874871,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_51,JudgeCurviness
1,418,6.03540988600366,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_55,JudgeCurviness
1,482,6.17732175066944,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_58,JudgeCurviness
1,497,6.20859002609663,0.75,1,B,B,01-SizeTask-BigBoxy,BigBoxy_59,JudgeCurviness
1,422.5,6.04357698263675,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_60,JudgeCurviness
1,421.5,6.04330660274642,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_61,JudgeCurviness
1,391,5.9678696057065,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_62,JudgeCurviness
1,461.5,6.13134462297453,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_63,JudgeCurviness
1,475,6.15751733398483,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_64,JudgeCurviness
1,353.5,5.86704152277469,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_66,JudgeCurviness
1,383,5.94704894025467,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_69,JudgeCurviness
1,389.5,5.9630404631812,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_71,JudgeCurviness
1,415.5,6.02262320014041,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_72,JudgeCurviness
1,469.5,6.14880148168788,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_73,JudgeCurviness
1,363.5,5.89566481522061,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_75,JudgeCurviness
1,459,6.12905021006055,0.75,1,B,B,01-SizeTask-BigBoxy,BigBoxy_76,JudgeCurviness
1,438,6.08221891037645,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_78,JudgeCurviness
1,406.5,6.00725021652664,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_79,JudgeCurviness
1,390,5.96374452803183,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_80,JudgeCurviness
1,434,6.06978209266807,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_81,JudgeCurviness
1,527.5,6.26804777923574,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_82,JudgeCurviness
1,365.5,5.90099578959709,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_83,JudgeCurviness
1,433.5,6.04647996844926,1,1,B,B,01-SizeTask-BigBoxy,BigBoxy_84,JudgeCurviness
1,500,6.20527350348263,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_01,JudgeCurviness
1,530,6.27193450255676,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_02,JudgeCurviness
1,417,6.0330862217988,0.75,1,B,C,02-SizeTask-BigCurvy,BigCurvy_03,JudgeCurviness
1,508,6.22873464632662,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_05,JudgeCurviness
1,524,6.26052745175342,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_06,JudgeCurviness
1,539.5,6.27938484404984,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_07,JudgeCurviness
1,545.5,6.30165197435562,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_08,JudgeCurviness
1,500,6.20895829806795,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_09,JudgeCurviness
1,489.5,6.19130961293378,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_10,JudgeCurviness
1,409,6.00092448953424,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_11,JudgeCurviness
1,475,6.16331480403464,0.75,1,B,C,02-SizeTask-BigCurvy,BigCurvy_13,JudgeCurviness
1,591,6.3818160174061,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_17,JudgeCurviness
1,415,6.02753475349681,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_18,JudgeCurviness
1,486,6.18607312483969,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_22,JudgeCurviness
1,517,6.24488840830637,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_23,JudgeCurviness
1,508,6.22810235421293,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_25,JudgeCurviness
1,529.5,6.27160804270775,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_26,JudgeCurviness
1,485.5,6.18168774745198,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_29,JudgeCurviness
1,526.5,6.26516746442232,1,1,B,C,02-SizeTask-BigCurvy,BigCurvy_34,JudgeCurviness
