participant,correctRTs,RT_log,congruent,SizeCond,CurvCond,image,current_task
1,411,6.01859321449623,1,Bi,Bo,BigBoxy_02,JudgeSize
1,502,6.21860011969173,1,Bi,Bo,BigBoxy_03,JudgeSize
1,388,5.96100533962327,1,Bi,Bo,BigBoxy_04,JudgeSize
1,391,5.96870755998537,1,Bi,Bo,BigBoxy_09,JudgeSize
1,416,6.03068526026126,1,Bi,Bo,BigBoxy_11,JudgeSize
1,396,5.98141421125448,1,Bi,Bo,BigBoxy_12,JudgeSize
1,427,6.05678401322862,1,Bi,Bo,BigBoxy_14,JudgeSize
1,448,6.10479323241498,1,Bi,Bo,BigBoxy_18,JudgeSize
1,455,6.12029741895095,1,Bi,Bo,BigBoxy_19,JudgeSize
1,405,6.00388706710654,1,Bi,Bo,BigBoxy_22,JudgeSize
1,445,6.09807428216624,1,Bi,Bo,BigBoxy_25,JudgeSize
1,414,6.02586597382531,1,Bi,Bo,BigBoxy_30,JudgeSize
1,521,6.25575004175337,1,Bi,Bo,BigBoxy_33,JudgeSize
1,467,6.1463292576689,1,Bi,Bo,BigBoxy_35,JudgeSize
1,378,5.93489419561959,1,Bi,Bo,BigBoxy_37,JudgeSize
1,432,6.06842558824411,1,Bi,Bo,BigBoxy_39,JudgeSize
1,424,6.04973345523196,1,Bi,Bo,BigBoxy_41,JudgeSize
1,376,5.92958914338989,1,Bi,Bo,BigBoxy_42,JudgeSize
1,393,5.97380961186926,1,Bi,Bo,BigBoxy_44,JudgeSize
1,520,6.25382881157547,1,Bi,Bo,BigBoxy_45,JudgeSize
1,396,5.98141421125448,1,Bi,Bo,BigBoxy_46,JudgeSize
1,NaN,NaN,1,Bi,Bo,BigBoxy_49,JudgeSize
1,470,6.1527326947041,1,Bi,Bo,BigBoxy_51,JudgeSize
1,429,6.06145691892802,1,Bi,Bo,BigBoxy_55,JudgeSize
1,533,6.27852142416584,1,Bi,Bo,BigBoxy_58,JudgeSize
1,496,6.20657592672493,1,Bi,Bo,BigBoxy_59,JudgeSize
1,408,6.01126717440416,1,Bi,Bo,BigBoxy_60,JudgeSize
1,486,6.18620862390049,1,Bi,Bo,BigBoxy_61,JudgeSize
1,458,6.12686918411419,1,Bi,Bo,BigBoxy_62,JudgeSize
1,421,6.04263283368238,1,Bi,Bo,BigBoxy_63,JudgeSize
1,464,6.13988455222626,1,Bi,Bo,BigBoxy_64,JudgeSize
1,432,6.06842558824411,1,Bi,Bo,BigBoxy_66,JudgeSize
1,435,6.07534603108868,1,Bi,Bo,BigBoxy_69,JudgeSize
1,490,6.19440539110467,1,Bi,Bo,BigBoxy_71,JudgeSize
1,386,5.95583736946483,1,Bi,Bo,BigBoxy_72,JudgeSize
1,522,6.25766758788264,1,Bi,Bo,BigBoxy_73,JudgeSize
1,497,6.20859002609663,1,Bi,Bo,BigBoxy_75,JudgeSize
1,381,5.9427993751267,1,Bi,Bo,BigBoxy_76,JudgeSize
1,451,6.11146733950268,1,Bi,Bo,BigBoxy_78,JudgeSize
1,465,6.14203740558736,1,Bi,Bo,BigBoxy_79,JudgeSize
1,493,6.20050917404269,1,Bi,Bo,BigBoxy_80,JudgeSize
1,463,6.13772705408623,1,Bi,Bo,BigBoxy_81,JudgeSize
1,442,6.0913098820777,1,Bi,Bo,BigBoxy_82,JudgeSize
1,582,6.36647044773144,1,Bi,Bo,BigBoxy_83,JudgeSize
1,442,6.0913098820777,1,Bi,Bo,BigBoxy_84,JudgeSize
1,511,6.2363695902037,1,Bi,Cu,BigCurvy_01,JudgeSize
1,477,6.16751649088834,1,Bi,Cu,BigCurvy_02,JudgeSize
1,471,6.15485809401642,1,Bi,Cu,BigCurvy_03,JudgeSize
1,545,6.30078579466324,1,Bi,Cu,BigCurvy_05,JudgeSize
1,518,6.24997524225948,1,Bi,Cu,BigCurvy_06,JudgeSize
1,579,6.361302477573,1,Bi,Cu,BigCurvy_07,JudgeSize
1,569,6.34388043412633,1,Bi,Cu,BigCurvy_08,JudgeSize
1,377,5.93224518744801,1,Bi,Cu,BigCurvy_09,JudgeSize
1,484,6.18208490671663,1,Bi,Cu,BigCurvy_10,JudgeSize
1,540,6.29156913955832,1,Bi,Cu,BigCurvy_11,JudgeSize
1,445,6.09807428216624,1,Bi,Cu,BigCurvy_13,JudgeSize
1,458,6.12686918411419,1,Bi,Cu,BigCurvy_17,JudgeSize
1,523,6.25958146406492,1,Bi,Cu,BigCurvy_18,JudgeSize
1,568,6.34212141872115,1,Bi,Cu,BigCurvy_22,JudgeSize
1,470,6.1527326947041,1,Bi,Cu,BigCurvy_23,JudgeSize
1,438,6.08221891037645,1,Bi,Cu,BigCurvy_25,JudgeSize
1,340,5.82894561761021,1,Bi,Cu,BigCurvy_26,JudgeSize
1,455,6.12029741895095,1,Bi,Cu,BigCurvy_29,JudgeSize
1,436,6.07764224334903,1,Bi,Cu,BigCurvy_34,JudgeSize
1,414,6.02586597382531,1,Bi,Cu,BigCurvy_38,JudgeSize
1,377,5.93224518744801,1,Bi,Cu,BigCurvy_41,JudgeSize
1,507,6.22851100359118,1,Bi,Cu,BigCurvy_44,JudgeSize
1,506,6.22653666928747,1,Bi,Cu,BigCurvy_48,JudgeSize
1,538,6.28785856016178,1,Bi,Cu,BigCurvy_50,JudgeSize
1,383,5.94803498918065,1,Bi,Cu,BigCurvy_51,JudgeSize
1,442,6.0913098820777,1,Bi,Cu,BigCurvy_52,JudgeSize
1,500,6.21460809842219,1,Bi,Cu,BigCurvy_53,JudgeSize
1,525,6.26339826259162,1,Bi,Cu,BigCurvy_54,JudgeSize
1,513,6.24027584517077,1,Bi,Cu,BigCurvy_55,JudgeSize
1,467,6.1463292576689,1,Bi,Cu,BigCurvy_57,JudgeSize
1,405,6.00388706710654,1,Bi,Cu,BigCurvy_58,JudgeSize
1,463,6.13772705408623,1,Bi,Cu,BigCurvy_62,JudgeSize
1,479,6.17170059741091,1,Bi,Cu,BigCurvy_64,JudgeSize
1,410,6.01615715969835,1,Bi,Cu,BigCurvy_65,JudgeSize
1,541,6.29341927884648,1,Bi,Cu,BigCurvy_68,JudgeSize
1,436,6.07764224334903,1,Bi,Cu,BigCurvy_69,JudgeSize
1,522,6.25766758788264,1,Bi,Cu,BigCurvy_72,JudgeSize
1,451,6.11146733950268,1,Bi,Cu,BigCurvy_74,JudgeSize
1,568,6.34212141872115,1,Bi,Cu,BigCurvy_75,JudgeSize
1,374,5.92425579741453,1,Bi,Cu,BigCurvy_76,JudgeSize
1,478,6.16961073249146,1,Bi,Cu,BigCurvy_77,JudgeSize
1,502,6.21860011969173,1,Bi,Cu,BigCurvy_82,JudgeSize
1,463,6.13772705408623,1,Bi,Cu,BigCurvy_83,JudgeSize
1,503,6.22059017009974,1,Bi,Cu,BigCurvy_84,JudgeSize
1,604,6.40357419793482,1,Sm,Bo,SmallBoxy_01,JudgeSize
1,496,6.20657592672493,1,Sm,Bo,SmallBoxy_02,JudgeSize
1,688,6.53378883793334,1,Sm,Bo,SmallBoxy_03,JudgeSize
1,514,6.24222326545517,1,Sm,Bo,SmallBoxy_04,JudgeSize
1,569,6.34388043412633,1,Sm,Bo,SmallBoxy_08,JudgeSize
1,527,6.26720054854136,1,Sm,Bo,SmallBoxy_10,JudgeSize
1,428,6.0591231955818,1,Sm,Bo,SmallBoxy_11,JudgeSize
1,531,6.27476202124194,1,Sm,Bo,SmallBoxy_17,JudgeSize
1,548,6.30627528694802,1,Sm,Bo,SmallBoxy_22,JudgeSize
1,565,6.33682573114644,1,Sm,Bo,SmallBoxy_23,JudgeSize
1,412,6.02102334934953,1,Sm,Bo,SmallBoxy_25,JudgeSize
1,545,6.30078579466324,1,Sm,Bo,SmallBoxy_26,JudgeSize
1,529,6.2709884318583,1,Sm,Bo,SmallBoxy_27,JudgeSize
1,558,6.32435896238131,1,Sm,Bo,SmallBoxy_29,JudgeSize
1,449,6.10702288774225,1,Sm,Bo,SmallBoxy_30,JudgeSize
1,563,6.33327962813969,1,Sm,Bo,SmallBoxy_31,JudgeSize
1,482,6.1779441140506,1,Sm,Bo,SmallBoxy_35,JudgeSize
1,598,6.39359075395063,1,Sm,Bo,SmallBoxy_36,JudgeSize
1,481,6.17586727010576,1,Sm,Bo,SmallBoxy_37,JudgeSize
1,615,6.42162226780652,1,Sm,Bo,SmallBoxy_41,JudgeSize
1,595,6.38856140554563,1,Sm,Bo,SmallBoxy_42,JudgeSize
1,528,6.26909628370626,1,Sm,Bo,SmallBoxy_44,JudgeSize
1,508,6.23048144757848,1,Sm,Bo,SmallBoxy_46,JudgeSize
1,496,6.20657592672493,1,Sm,Bo,SmallBoxy_48,JudgeSize
1,524,6.26149168432104,1,Sm,Bo,SmallBoxy_50,JudgeSize
1,498,6.21060007702465,1,Sm,Bo,SmallBoxy_55,JudgeSize
1,469,6.15060276844628,1,Sm,Bo,SmallBoxy_58,JudgeSize
1,451,6.11146733950268,1,Sm,Bo,SmallBoxy_66,JudgeSize
1,598,6.39359075395063,1,Sm,Bo,SmallBoxy_74,JudgeSize
1,642,6.46458830368996,1,Sm,Bo,SmallBoxy_76,JudgeSize
1,541,6.29341927884648,1,Sm,Bo,SmallBoxy_78,JudgeSize
1,525,6.26339826259162,1,Sm,Bo,SmallBoxy_81,JudgeSize
1,598,6.39359075395063,1,Sm,Bo,SmallBoxy_83,JudgeSize
1,395,5.97888576490112,1,Sm,Bo,SmallBoxy_84,JudgeSize
1,489,6.19236248947487,1,Sm,Cu,SmallCurvy_03,JudgeSize
1,393,5.97380961186926,1,Sm,Cu,SmallCurvy_04,JudgeSize
1,392,5.97126183979046,1,Sm,Cu,SmallCurvy_06,JudgeSize
1,533,6.27852142416584,1,Sm,Cu,SmallCurvy_07,JudgeSize
1,511,6.2363695902037,1,Sm,Cu,SmallCurvy_08,JudgeSize
1,502,6.21860011969173,1,Sm,Cu,SmallCurvy_09,JudgeSize
1,460,6.13122648948314,1,Sm,Cu,SmallCurvy_17,JudgeSize
1,558,6.32435896238131,1,Sm,Cu,SmallCurvy_18,JudgeSize
1,510,6.23441072571837,1,Sm,Cu,SmallCurvy_19,JudgeSize
1,512,6.23832462503951,1,Sm,Cu,SmallCurvy_22,JudgeSize
1,532,6.27664348934164,1,Sm,Cu,SmallCurvy_24,JudgeSize
1,439,6.08449941307517,1,Sm,Cu,SmallCurvy_26,JudgeSize
1,518,6.24997524225948,1,Sm,Cu,SmallCurvy_27,JudgeSize
1,542,6.29526600143965,1,Sm,Cu,SmallCurvy_28,JudgeSize
1,509,6.23244801655052,1,Sm,Cu,SmallCurvy_29,JudgeSize
1,555,6.31896811374643,1,Sm,Cu,SmallCurvy_31,JudgeSize
1,535,6.28226674689601,1,Sm,Cu,SmallCurvy_32,JudgeSize
1,513,6.24027584517077,1,Sm,Cu,SmallCurvy_34,JudgeSize
1,519,6.25190388316589,1,Sm,Cu,SmallCurvy_36,JudgeSize
1,536,6.2841341610708,1,Sm,Cu,SmallCurvy_38,JudgeSize
1,453,6.11589212548303,1,Sm,Cu,SmallCurvy_39,JudgeSize
1,526,6.26530121273771,1,Sm,Cu,SmallCurvy_40,JudgeSize
1,450,6.10924758276437,1,Sm,Cu,SmallCurvy_41,JudgeSize
1,443,6.09356977004514,1,Sm,Cu,SmallCurvy_42,JudgeSize
1,516,6.24610676548156,1,Sm,Cu,SmallCurvy_44,JudgeSize
1,484,6.18208490671663,1,Sm,Cu,SmallCurvy_45,JudgeSize
1,517,6.24804287450843,1,Sm,Cu,SmallCurvy_48,JudgeSize
1,460,6.13122648948314,1,Sm,Cu,SmallCurvy_49,JudgeSize
1,571,6.34738920965601,1,Sm,Cu,SmallCurvy_50,JudgeSize
1,634,6.45204895443723,1,Sm,Cu,SmallCurvy_53,JudgeSize
1,529,6.2709884318583,1,Sm,Cu,SmallCurvy_54,JudgeSize
1,454,6.11809719804135,1,Sm,Cu,SmallCurvy_56,JudgeSize
1,416,6.03068526026126,1,Sm,Cu,SmallCurvy_57,JudgeSize
1,358,5.8805329864007,1,Sm,Cu,SmallCurvy_63,JudgeSize
1,463,6.13772705408623,1,Sm,Cu,SmallCurvy_71,JudgeSize
1,427,6.05678401322862,1,Sm,Cu,SmallCurvy_72,JudgeSize
1,573,6.35088571671474,1,Sm,Cu,SmallCurvy_73,JudgeSize
1,572,6.3491389913798,1,Sm,Cu,SmallCurvy_80,JudgeSize
1,553,6.31535800152233,1,Sm,Cu,SmallCurvy_81,JudgeSize
1,542,6.29526600143965,1,Sm,Cu,SmallCurvy_83,JudgeSize
2,604,6.40357419793482,0,Bi,Bo,BigBoxy_04,JudgeSize
